Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Label
10.152.152.11-216.58.220.99-57158-443-6,10.152.152.11,57158,216.58.220.99,443,6,24/07/2015 04:09:48 PM,229,1,1,0,0,0,0,0,0,0,0,0,0,0,8733.6244541485,229,0,229,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,4366.8122270742,4366.8122270742,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1892,1047,0,20,0,0,0,0,0,0,0,0,Non-Tor,AUDIO-STREAMING
10.152.152.11-216.58.220.99-57159-443-6,10.152.152.11,57159,216.58.220.99,443,6,24/07/2015 04:09:48 PM,407,1,1,0,0,0,0,0,0,0,0,0,0,0,4914.0049140049,407,0,407,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2457.0024570025,2457.0024570025,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1987,1047,0,20,0,0,0,0,0,0,0,0,Non-Tor,AUDIO-STREAMING
10.152.152.11-216.58.220.99-57160-443-6,10.152.152.11,57160,216.58.220.99,443,6,24/07/2015 04:09:48 PM,431,1,1,0,0,0,0,0,0,0,0,0,0,0,4640.3712296984,431,0,431,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2320.1856148492,2320.1856148492,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2049,1047,0,20,0,0,0,0,0,0,0,0,Non-Tor,AUDIO-STREAMING
10.152.152.11-74.125.136.120-49134-443-6,10.152.152.11,49134,74.125.136.120,443,6,24/07/2015 04:09:48 PM,359,1,1,0,0,0,0,0,0,0,0,0,0,0,5571.0306406685,359,0,359,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2785.5153203343,2785.5153203343,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,1047,0,20,0,0,0,0,0,0,0,0,Non-Tor,AUDIO-STREAMING
10.152.152.11-173.194.65.127-34697-19305-6,10.152.152.11,34697,173.194.65.127,19305,6,24/07/2015 04:09:45 PM,10778451,591,400,64530,6659,131,0,109.1878172589,22.2833126088,498,0,16.6475,46.8337136643,6604.7523897451,91.9427105064,10887.3242424242,11412.4664118027,78158,13,10778451,18268.5610169492,11786.1430894849,81171,126,10747836,26936.9323308271,15897.7384503934,78158,307,1,0,0,0,11820,8000,54.8316265482,37.1110839582,0,498,71.8760080645,56.936469889,3241.7616034227,1,0,0,659,991,0,0,0,0,71.9485368315,109.1878172589,16.6475,0,0,0,0,659,6605,0,65,0,6,1382,2320,581,20,0,0,0,0,1437764990528719,3117718.13130751,1437764995910109,1437764985151822,Non-Tor,AUDIO-STREAMING
10.152.152.11-173.194.65.127-54570-443-6,10.152.152.11,54570,173.194.65.127,443,6,24/07/2015 04:10:00 PM,421362,5,3,72,79,72,0,14.4,32.199378876,79,0,26.3333333333,45.610671266,358.3616937455,18.9860499998,60194.5714285714,157282.824782679,416869,13,421362,105340.5,207813.05220077,417054,190,417945,208972.5,294010.049869898,416869,1076,0,0,0,0,112,72,11.8662812499,7.1197687499,0,79,16.7777777778,33.3383329584,1111.4444444445,1,2,0,2,7,0,0,0,0,18.875,14.4,26.3333333333,0,0,0,0,0,0,0,9,0,9,14600,913,1,20,0,0,0,0,1437765000593883,186611.080563829,1437765000927702,1437765000509764,Non-Tor,AUDIO-STREAMING
173.194.33.97-10.152.152.11-443-56254-6,173.194.33.97,443,10.152.152.11,56254,6,24/07/2015 04:09:45 PM,119682119,488,487,89259,314105,1460,0,182.9077868852,360.0429556006,1460,0,644.9794661191,647.036832127,3370.2946051615,8.1465803593,122876.91889117,822593.386879679,13485507,2,119642787,245673.073921971,1151351.51967259,13485507,5,119028043,244913.66872428,1155468.77774149,13522678,18,0,0,0,0,9760,9740,4.0774679131,4.0691124461,0,1460,413.2827868852,571.8269811401,326986.096359815,0,0,0,403,975,0,0,0,0,413.7066666667,182.9077868852,644.9794661191,0,0,0,0,44,9225,0,91,0,322,12108,9520,209,20,0,0,0,0,1437765017950639,31846302.8088254,1437765104821766,1437764985216708,Non-Tor,AUDIO-STREAMING
10.152.152.11-216.58.216.142-57361-443-6,10.152.152.11,57361,216.58.216.142,443,6,24/07/2015 04:09:46 PM,116996934,369,378,208796,34340,1460,0,565.8428184282,598.9278075904,1460,0,90.8465608466,180.9416798677,2078.1399280087,6.3847826987,156832.351206434,733142.09768213,7800200,5,116996398,317924.994565217,1022458.74231699,7800456,31,116996466,310335.453580902,1008875.86393758,7800557,7,0,0,0,0,7380,7560,3.153928803,3.2308538957,0,1460,327,501.3555627175,251357.400267737,0,0,0,307,747,0,0,0,1,327.437751004,565.8428184282,90.8465608466,0,0,0,0,25,4949,0,279,0,45,21142,8323,268,20,0,0,0,0,1.43776503546762E+015,36170281.8432026,1437765103276183,1437764986283665,Non-Tor,AUDIO-STREAMING
74.125.28.189-10.152.152.11-443-44097-6,74.125.28.189,443,10.152.152.11,44097,6,24/07/2015 04:09:48 PM,100279453,61,60,14526,17870,996,0,238.131147541,324.8055046439,1460,0,297.8333333333,479.2418506479,323.0572069435,1.2066280417,835662.108333333,4003838.79136305,29069708,7,100279453,1671324.21666667,5562102.5070976,29069708,12,100240150,1698985.59322034,5612872.86916101,29109291,30,1,0,0,0,1220,1200,0.6083000872,0.5983279546,0,1460,269.5163934426,406.9158386313,165580.499729034,0,0,0,54,121,0,0,0,0,271.7438016529,238.131147541,297.8333333333,0,0,0,0,11,4300,0,120,0,147,2640,3346,31,20,0,0,0,0,1437765021340700,33277896.9612084,1437765089237655,1437764988997540,Non-Tor,AUDIO-STREAMING
10.152.152.11-173.194.65.127-34702-19305-6,10.152.152.11,34702,173.194.65.127,19305,6,24/07/2015 04:10:00 PM,119962833,3638,3157,254101,488658,190,0,69.8463441451,53.9425837242,1460,0,154.7855559075,214.9351774103,6191.5760192159,56.6425436118,17657.1729467177,18742.9138795748,151388,9,119962833,32984.0068737971,24023.010795762,151768,87,119940995,38004.1175538657,24494.2758290516,161775,61,0,0,0,0,72772,63152,30.3260594054,26.3164842064,0,1460,109.2935550324,157.5135857848,24810.5297068007,0,2,0,4425,6794,0,0,0,0,109.3096394408,69.8463441451,154.7855559075,0,0,0,0,4427,6193,0,37,0,71,14600,5292,2775,20,0,0,0,0,1437765062825480,32982542.9834342,1437765120471714,1437765000508985,Non-Tor,AUDIO-STREAMING
